Gew_Nr,Gew_Name,l_total ,l_offen,l_offiziell_eingedolt,l_inoff_eingedolt,mögliche Ausdolung,Parzellen,Ausdolungspotenzial,Bemerkung,Foto im Bericht,Link zu GeoView BL,Informationsblatt,Eigentümer,Bewirtschafter,Gemeinde,Bezirk
60.201,Orismühlekanal (privat),480,300,180,,,,0,aufgehoben,-,,,,,Seltisberg,Liestal
60.202,Hungerbrunnenbächli,140,130,10,,,,0,,-,,,,,Seltisberg,Liestal
60.203,Bannholzbächli,620,590,30,,,,0,,-,,,,,Seltisberg,Liestal
60.204,Ebermattbächli,250,230,20,,,,0,,-,,,,,Seltisberg,Liestal
28.13,Arisdörferbach,430,190,240,,,,0,,-,,,,,Hersberg,Liestal
,Drainage in Verlängerung des Arisdörferbachs Richtung Dorf,,,,,500,,4,Offene Bachführung entlang der Kantonsstrasse wäre zu prüfen,28.13,Plan-link,Hersberg_Eindolungen_Bericht,,,Hersberg,Liestal
,südlicher Drainageast in Richtung Schward,,,,,170 u. 140 m.,,4,,28.13,Plan-link,Hersberg_Eindolungen_Bericht,,,Hersberg,Liestal
28.142,Chueftelbächli,60,50,10,,,,0,,-,,,,,Hersberg,Liestal
,Drainagesystem in Verlänge-rung des Chueftelbächlis Richtung Schward,,,,,200,,3,"offene Bachführung entlang Weg wäre machbar, Wasserführung im Normalfall wohl nur gering",28.13,Plan-link,Hersberg_Eindolungen_Bericht,,,Hersberg,Liestal
52.07,Vordere Frenke,50,50,0,,,,0,,-,,,,,Ramlinsburg,Liestal
52.79,Loochbächli,2000,1770,230,,,,0,,-,,,,,Ramlinsburg,Liestal
52.86,Talbächli,90,90,0,,,,0,,-,,,,,Ramlinsburg,Liestal
52.92,Buechholdenbächli,820,810,10,,,,0,,-,,,,,Ramlinsburg,Liestal
1 (Siegfried-karte),E-Ast Buechholdebächli im Gebiet Althof,,,,,200,,3,"In der Talachse kaum Wasserführung, aber Wasserzutritt aus Richtung Norden bietet ev. Potenzial",S. 1,Plan-link,Ramlinsburg_Eindolungen_Bericht,,,Ramlinsburg,Liestal
2 (Siegfried-karte),Verlängerung Buechholdebächli im Waldgebiet,,,,,0,,0,"Bächlein wir im wesentlichen durch Quellüberlauf gespeist, im Bereich darüber ist eine Wasserführung nur nach Starkregen zu erwarten",S. 2,Plan-link,Ramlinsburg_Eindolungen_Bericht,,,Ramlinsburg,Liestal
52.155,Teufelenbächli,50,50,0,,,,0,,-,,,,,Ramlinsburg,Liestal
7.01,Rhein,2230,2230,0,,,,0,,-,,,,,Augst,Liestal
7.04,Ergolz,2480,2480,0,,,,0,"Renaturierung gemäss Richtplan vorgesehen; Revitalisierung ab Autobahnbrücke gemäss Wasserbaukonzept, anschliessend Überflutungs- und Retentionsgebiet",-,,,,,Augst,Liestal
7.12,Violenbach,1950,1870,80,,,,0,,-,,,,,Augst,Liestal
7.4,Ruschenbächli,900,0,900,,,,0,,-,,,,,Augst,Liestal
S1,Bachlauf Siegfriedkarte,,,,,400,,2,Würde Unterquerung der Autobahn und Weiterführung bis zur Ergolz bedingen; denkbar wäre allenfalls offene Führung für Teilstrom mit anschliessender Versickerung im Ergolz-Schotter,-,Plan-link,,,,Augst,Liestal
20.09,Diegterbach,1320,900,420,,,,0,,-,,,,,Eptingen,Waldenburg
20.58,Witwaldbächli,700,670,30,,,,0,,-,,,,,Eptingen,Waldenburg
20.60,Chürzibächli,1970,1870,100,,,,0,,-,,,,,Eptingen,Waldenburg
20.201,Buchmattenbächli,300,240,60,,,,0,,-,,,,,Eptingen,Waldenburg
20.202,Dürreggbächli (ab Gabelung),380,170,210,,210,,4,"gute  Wasserführung, zusammen mit Eindolung Schürmattbächli (insb. Parz. 1383) prüfen",20.202,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.203,Feldbach,1680,1640,40,,,,0,,-,,,,,Eptingen,Waldenburg
20.204,Gruebmattbach,760,460,300,,300,,5,gute  Wasserführung und gute Vernetzungswirkung,20.204,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.205,Hölibächli,410,250,160,,,,0,,-,,,,,Eptingen,Waldenburg
20.206,Leisibach,3820,3450,370,,,,0,,-,,,,,Eptingen,Waldenburg
,Drainagen Richtung Hof Nieder Belchen,,,,500,300,,4,Wasserführung ? (in Sigfriedkarte als Bachlauf kartiert),20.206,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
,Drainagen Richtung Chilchzimmersattel,,,,> 500,> 300,,4,einzelne Stränge in Sigfriedkarte als Bachlauf kartiert,20.206,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.207,Lindbächli,400,190,210,,160,1467,4,"gute Vernetzungswirkung und Wasserführung, angrenzend Fruchtfolgeflächen",20.207,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
,Drainagesystem SW (III) in Verlängerung  Lindbächli,,,,> 400,300,,5,"gute Vernetzungswirkung und vmtl. ausreichende Wasserführung, Weideland",-,Link,,,,Eptingen,Waldenburg
,Drainagesystem SSW (II) ,,,,> 700,> 500,,3,"vmtl. ausreichende Wasserführung, betrifft landwirtschaftlich besser nutzbare Flächen",-,Link,,,,Eptingen,Waldenburg
20.208,Neuhusbächli,880,300,580,,500,,5,"gute Wasserführung, Wiederherstellung eines früheren Landschaftselementes",20.208,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
,Drainagen in Verlängerung Süsdostast,,,,500,> 300,,3,Wasserführung vermutlich bescheiden,-,Link,,,,Eptingen,Waldenburg
20.209,Obertlochbach,2430,2270,160,,,,0,,-,,,,,Eptingen,Waldenburg
20.210,Schürmattbächli,950,520,430,,130,1383,5,"Eindolung auf Parz. 1383 sollte aufgehoben werden, weiter unten ist Öffnung kaum realisierbar; entlang Waldrand/Waldweg  könnte Drainage gegen W geöffnet werden",20.210,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.211,Stutzbächli,500,100,400,,> 300,,4,"im oberen Abschnitt Öffnung entlang Weg/Kantonsstrasse, im untersten Abschnitt ev. auch möglich",20.211,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.212,Ussermattbach,2650,2310,340,,200,,4, Öffnung entlang Kantonsstrasse denkbar,20.212,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.213,Welschrüttibächli,620,270,350,,250,,5, Öffnung im Weideland würde wertvolle Vernetzung bringen,20.213,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
,Drainage West und Südwest,,,,je > 500 m,> 500,,4,"Drainage Südwest im oberen Abschnitt (Weideland) prüfen, Wasserführung ?",-,Link,,,,Eptingen,Waldenburg
20.214,Wilbächli,1780,1470,310,,,,0, eingedolter Abschnitt beim Hof Griesse schwierig zu öffnen,-,Link,,,,Eptingen,Waldenburg
,mehrere Drainagesysteme südl. und westlich Wilbächli,,,,> 500,500,,5,"bestes Potenzial bei Drainage Süd im Gebiet Will, da Speisung aus Wald",20.214,Link,Eptingen_Eindolungen_Bericht,,,Eptingen,Waldenburg
20.215,Weierbächli,500,150,350,,,,0,,-,,,,,Eptingen,Waldenburg
37.16,Lüssel,1620,1590,30,,,,0,,-,,,,,Lauwil,Waldenburg
37.48,Eichmattbach,380,150,230,,200,,4,"entgegen den Angaben im Geoview ist Oberlauf eingedolt, Ausdolung auf Parz. 381 gut machbar",37.48,Link,Lauwil_Eindolungen_Bericht,,,Lauwil,Waldenburg
37.93,Ämlisbach,930,930,0,,,,0,,-,,,,,Lauwil,Waldenburg
37.94,Cheibgrabenbach,510,360,150,,,,0,,-,,,,,Lauwil,Waldenburg
37.96,Vogelmattbach,240,220,20,,,,0,,-,,,,,Lauwil,Waldenburg
37.162,Bürtenbach,1880,1870,10,,,,0,,-,,,,,Lauwil,Waldenburg
37.201,Weidlibächli,350,340,10,,,,0,,-,,,,,Lauwil,Waldenburg
37.202,Bogentalbach,2480,2460,20,,,,0,,-,,,,,Lauwil,Waldenburg
37.203,Firstrainbach,560,480,80,,,,0,,-,,,,,Lauwil,Waldenburg
,weitere Bachstrecken gemäss Sigfriedkarte im Oberlauf,,,,?,> 300,,5,es bestehen diverse Eindolung früherer Bachäste (S2) deren (partielle) Öffnung gut zu den Aufwertungsmassnahmen im Gebiet 'Goldseileren' passen würde ,37.203,Link,Lauwil_Eindolungen_Bericht,,,Lauwil,Waldenburg
37.204,Geitenbach,1090,1080,10,,,,0,,-,,,,,Lauwil,Waldenburg
37.205,Hollenbach,620,600,20,,,,0,,-,,,,,Lauwil,Waldenburg
37.206,Lauwilbergbächli,590,530,60,,,,0,,-,,,,,Lauwil,Waldenburg
37.207,Schlattbach,1600,1590,10,,,,0,,-,,,,,Lauwil,Waldenburg
37.208,St. Romaibach,780,470,310,,150 + 100,,5,gutes Potenzial für eine Öffnung des obersten Abschnittes,37.208,Link,Lauwil_Eindolungen_Bericht,,,Lauwil,Waldenburg
37.209,Vogelbergbach,1590,1470,120,,,,0,,-,,,,,Lauwil,Waldenburg
37.210,Bündtacherbächli,220,180,40,,,,0,,-,,,,,Lauwil,Waldenburg
67.07,Vordere Frenke,2500,2380,120,,,,0,,-,,,,,Waldenburg,Waldenburg
67.97,Weigistbach,270,270,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.110,Säuschwänkibach,700,700,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.111,Schelmenlochbächli,130,130,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.136,Schiltgrabenbächli,280,180,100,,,,0,,-,,,,,Waldenburg,Waldenburg
67.138,Bilsteinbach,80,80,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.157,Goldbrunnenbächli,40,40,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.158,Chellenbergbach,20,20,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.159,Wasserfallenweidbächli,40,40,0,,,,0,,-,,,,,Waldenburg,Waldenburg
67.165,Sennmattbächli,1280,980,300,,100,,4,"Drainage im Bereich Scheibenstand, ev. geringe Wasserführung, Ausdolung im Unterlauf gemäss Wasserbaukonzept geplant",-,Link,,,,Waldenburg,Waldenburg
67.201,Blüemlisalpbächli,270,210,60,,,,0,,-,,,,,Waldenburg,Waldenburg
67.202,Brestenbergbächli,500,410,90,,,,0,,-,,,,,Waldenburg,Waldenburg
67.203,Chapfbächli,410,370,40,,,,0,,-,,,,,Waldenburg,Waldenburg
67.204,Gerstelbach,2050,1710,340,,100,,4,"Öffnung beim Hof Gerstel wäre anzustreben, Ausdolung im Unterlauf gemäss Wasserbaukonzept geplant",-,Link,,,,Waldenburg,Waldenburg
67.205,Humbelbächli,420,400,20,,,,0,,-,,,,,Waldenburg,Waldenburg
67.206,Hornisrütibächli,1320,1300,20,,,,0,,-,,,,,Waldenburg,Waldenburg
67.207,Nünbrunnenbach,950,940,10,,,,0,,-,,,,,Waldenburg,Waldenburg
67.208,Rotherdbächli,480,470,10,,,,0,,-,,,,,Waldenburg,Waldenburg
67.209,Schellenbergbach,2440,2380,60,,,,0,,-,,,,,Waldenburg,Waldenburg
67.210,Wattelbach,1740,1650,90,,,,0,,-,,,,,Waldenburg,Waldenburg
67.211,Wilbächli,230,200,30,,,,0,,-,,,,,Waldenburg,Waldenburg
8.41,Bennwilerbach,1220,1030,190,,,,0,Eindolung im Dorfkern,-,,,,,Bennwil,Waldenburg
8.42,Chänelbächli,620,570,50,,,,0,,-,,,,,Bennwil,Waldenburg
,Drainagesystem Ost Richtung Ebnet,,,,>  300,200,,3,"im untern Abschnitt (Weideland) denkbar, oben Ackerbau, vermutlich geringe Wasserführung",S. 1,Link,Bennwil_Eindolungen_Bericht,,,Bennwil,Waldenburg
8.43,Walibach,4880,4840,40,,,,0,,-,,,,,Bennwil,Waldenburg
,Talung Richtung Schüsselrain (S2),,,,150?,150,,3,"Drainage im Weideland, im Wald vermutlich nur periodische Wasserführung",S. 2,Link,Bennwil_Eindolungen_Bericht,,,Bennwil,Waldenburg
8.44,Zurütibächli,430,430,0,,,,0,,-,,,,,Bennwil,Waldenburg
8.201,Bruggtalbächli,1020,570,450,,500,,6,Offene Bachführung im Rahmen der Rekultivierung der Inertstoffdeponie Bruggtal verbindlich festgelegt,-, -,,,,Bennwil,Waldenburg
,Drainagesysteme Süd             und Ost (S1),,,,,0,,0,wird weitgehend von Deponie überdeckt,-, -,,,,Bennwil,Waldenburg
8.202,Chilchtalbächli,950,880,70,,,,0,,-,,,,,Bennwil,Waldenburg
8.203,Lammetbächli,880,220,660,,550,4 Parz,5,Offene Bachführung südwestlich des Weges  wäre zumindest im untern Abschnitt wertvolles Vernetzungselement,8.203,Link,Bennwil_Eindolungen_Bericht,,,Bennwil,Waldenburg
8.204,Schremattbächli,1630,1590,40,,,,0,,-,,,,,Bennwil,Waldenburg
8.205,Schwangenbächli,370,350,20,,,,0,,-,,,,,Bennwil,Waldenburg
,Drainage in Verlängerung S,,,,,200,,3,vermutlich geringe Wasserführung,-,Link,,,,Bennwil,Waldenburg
8.206,Zielebächli,490,300,190,,,,0,,-,,,,,Bennwil,Waldenburg
,Drainage N Richtung Chnüttelacher,,,,,150,,3,vermutlich geringe Wasserführung,-,Link,,,,Bennwil,Waldenburg
8.207,Züsbächli,580,200,380,,,,5,"im oberen Abschnitt vermutlich geringe Wasserführung, Intensiv-Obstkulturen, kurzes Stück untehalb Weg könnte gut offen gelegt werden",8.207,Link,Bennwil_Eindolungen_Bericht,,,Bennwil,Waldenburg
8.208,Baumgartenbächli,80,70,10,,,,0,,-,,,,,Bennwil,Waldenburg
8.209,Neumattbächli,120,110,10,,,,0,,-,,,,,Bennwil,Waldenburg
8.210,Steimattbächli,330,80,250,,140,,3,im unteren Abschnitt im Konflikt mit Bewirtschaftung,-,Link,,,,Bennwil,Waldenburg
,Verlängerung Ost (S3),,,,,200,,3,im oberen Teil vermutlich geringe Wasserführung,8.210,,Bennwil_Eindolungen_Bericht,,,Bennwil,Waldenburg
8.211,Maiacherbächli,50,50,0,,,,0,,-,,,,,Bennwil,Waldenburg
38.97,Weigistbach,2680,2540,140,,,,0,,-,,,,,Liedertswil,Waldenburg
38.201,Weidligrabenbächli,380,260,120,,,,0,,-,,,,,Liedertswil,Waldenburg
38.202,Wilhaulengrabenbächli,500,270,230,,230,,5,"gute Vernetzungswirkung, offene Führung ev. auch entlang Weg möglich",38.202,Link,Liedertswil_Eindolungen_Bericht,,,Liedertswil,Waldenburg
4.32,Bütschenbächli,370,360,10,,,,0,,-, -,,,,Arboldswil,Waldenburg
4.33,Cholmattbach,1300,1290,10,,,,0,,-, -,,,,Arboldswil,Waldenburg
4.34,Fluebach,1700,1680,20,,,,0,,-, -,,,,Arboldswil,Waldenburg
,Drainagesystem Süd beim Hof Schlif,,,,300,150,,3,"Drainage verläuft unterhalb Hofzufahrt in Baumgarten, oberhalb in Wiese; Transitgasleitung südlich der Verbindungsstrasse nach Niederdorf, Wasserführung?",S. 1,Link,Arboldswil_Eindolungen_Bericht,,,Arboldswil,Waldenburg
,Drainagesystem Nord (Mülte - Mülteweid),,,,> 400,200,,4,"oberhalb Hof wäre offene Führung im Weideland denkbar, Wasserführung?",-,Link,,,,Arboldswil,Waldenburg
4.35,Mapprechbächli  ,810,790,20,,,,0,Drainage in Verlängerung Südast siehe Gemeinde Titterten,-,Link,,,,Arboldswil,Waldenburg
,Drainagesystem NW Richtung Teufi ,,,,> 400,300,,3,Drainage quert sehr viele Parzellen,S. 2,Link,Arboldswil_Eindolungen_Bericht,,,Arboldswil,Waldenburg
4.36,Neuetenbächli,370,360,10,,,,0,,-, -,,,,Arboldswil,Waldenburg
,Drainagesystem Richtung NE,,,,300,150,,3,"im unteren Abschnitt wäre Offenlegung entlang Weg denkbar, Wasserführung?",S. 3,Link,Arboldswil_Eindolungen_Bericht,,,Arboldswil,Waldenburg
4.37,Schlossgrabenbächli,680,670,10,,,,0,,-, -,,,,Arboldswil,Waldenburg
4.201,Baachbächli,330,20,310 ?,,230,,4,laut GeoView ist oberer Teil offen geführt; Öffnung im unteren Abschnitt (ev. entlang Hangfuss/Weg) brächte wertvolle Vernetzung;  Weiher Baach wurde 2012/13 saniert,4.201,Link,Arboldswil_Eindolungen_Bericht,,,Arboldswil,Waldenburg
4.202,Ehrlibächli,120,120,0,,,,0,,-, -,,,,Arboldswil,Waldenburg
4.203,Moosbächli,130,70,60,,,,0,,-,,,,,Arboldswil,Waldenburg
44.07,Vordere Frenke,2000,2000,0,,,,0,,-,,,,,Niederdorf,Waldenburg
44.36,Neuetenbächli,160,160,0,,,,0,,-,,,,,Niederdorf,Waldenburg
44.37,Schlossgrabenbächli,1000,990,10,,,,0,,-,,,,,Niederdorf,Waldenburg
44.42,Chänelbächli,1300,1040,260,,,,0,,-,,,,,Niederdorf,Waldenburg
,ehemaliger Oberlauf/ Drainagen im Gebiet Dilleten,,,,> 500,,,2,"ehemalige Äste im Oberlauf (Siegfriedkarte 1950) sind Teil der umfassenden Drai-nagesysteme (auch Gebiete Gde. Oberdorf), intensiv genutzte Fruchtfolgeflächen",44.42,Link,Niederdorf_Eindolungen_Bericht,,,Niederdorf,Waldenburg
44.54,Tannenbodenbächli,580,580,0,,,,0,,-,,,,,Niederdorf,Waldenburg
44.102,Hofacherbächli,70,60,10,,,,0,,-,,,,,Niederdorf,Waldenburg
44.103,Holdenbächli,180,110,70,,,,0,,-,,,,,Niederdorf,Waldenburg
44.104,Grittbächli,210,10,200,,,,0,,-,,,,,Niederdorf,Waldenburg
44.105,Leebächli,1510,1280,230,,130,,4,Öffnung des eingedolten Nordastes Richtung Unter Serzach entlang Weg,44.105,Link,Niederdorf_Eindolungen_Bericht,,,Niederdorf,Waldenburg
44.145,Brunnenstigbächli,230,150,80,,,,0,,-,,,,,Niederdorf,Waldenburg
44.201,Arxhofbächli,380,360,20,,,,0,,-,,,,,Niederdorf,Waldenburg
44.202,Mettlenbächli,610,450,160,,,,0,,-,,,,,Niederdorf,Waldenburg
,ehemaliger Oberlauf/ Drai-nagen im Gebiet Burghalde,,,,> 500,,,4,"ehemalige Äste im Oberlauf (Siegfriedkarte 1950) sind Teil der umfassenden Drai-nagesysteme, gutes Potenzial für südlichen Ast entlang Strasse",44.202,Link,Niederdorf_Eindolungen_Bericht,,,Niederdorf,Waldenburg
44.203,Stutzbächli,560,50,510,,,,0,,-,,,,,Niederdorf,Waldenburg
44.204,Zwüschenflüebächli,1470,1050,420,,360,,?,"Eindolung unter Deponie Werstel (belastetes Standort), offene Bachführung um Deponie herum möglich?",-,Link,,,,Niederdorf,Waldenburg
33.53,Sormattbächli,400,400,0,,,,0,,-,,,,,Lampenberg,Waldenburg
,3 Drainagesysteme in Verlängerung S - SE,,,,> 500,150,,2,"intensiv genutzte Fruchtfolgeflächen, ev. im unteren Abschnitt Öffnung entlang Parzellengrenze",33.53,Link,Lampenberg_Eindolungen_Bericht,,,Lampenberg,Waldenburg
33.54,Tannenbodenbächli,510,500,10,100,,,0,,-,,,,,Lampenberg,Waldenburg
,Drainage in Verlängerung SE-Ast (S1),,,,200,150,,4,eingedolter Bachlauf liegt grösstenteils in Naturschutzgebiet 'Weid hintere Obetsmatt',33.54,Link,Lampenberg_Eindolungen_Bericht,,,Lampenberg,Waldenburg
33.81,Weidbächli,170,110,60,,,,0,,-,,,,,Lampenberg,Waldenburg
33.86,Talbächli,1920,1590,330,,,,0,,-,,,,,Lampenberg,Waldenburg
,Drainage in Richtung SW,,,,500,200,,5,Im unteren Abschnitt (Weideland) gutes Potenzial für offene Bachführung,33.86,Link,Lampenberg_Eindolungen_Bericht,,,Lampenberg,Waldenburg
,Eindolung/Drainage in Verlängerung Richtung Dorf,,,,500,200,,4,gutes Potenzial für offenen Führung unterhalb und oberhalb Sportplatz,33.86,Link,Lampenberg_Eindolungen_Bericht,,,Lampenberg,Waldenburg
33.145,Brunnenstigbächli,120,110,10,,,,0,,-,,,,,Lampenberg,Waldenburg
33.201,Düriweidbächli,560,550,10,,,,0,,-,,,,,Lampenberg,Waldenburg
,"Drainagen in Verlängerung SW-Ast, und Richtung S",,,,> 500,200,,3,Öffnung im untersten Abschnitt bis zum nächaten Flurweg denkbar,33.201,Link,Lampenberg_Eindolungen_Bericht,,,Lampenberg,Waldenburg
66.32,Bütschenbächli,70,70,0,,,,0,,-,,,,,Titterten,Waldenburg
66.33,Cholmattbächli,260,260,0,,,,0,2014 wurden ca. 70 m Eindolung zwischen dem oberen Ende des offenen Bachlaufes und dem Hof offen gelegt (Projektdossier Büro Goetz),-,Link,,,,Titterten,Waldenburg
,"Drainagesystem in Verlän-gerung von 4.35 (Mapprech-bächli, Arboldswil)",,,,> 700,400,,5,"Die in der Siegfriedkarte von 1940 noch als Bachlauf verzeichnete Drainage quert relativ viele Parzellen, doch wäre offene Führung in Talsohle über eine grössere Strecke gut machbar, Speisung aus verschiedenen Seitenästen/Quellen",66.33,Link,Titterten_Eindolungen_Bericht,,,Titterten,Waldenburg
66.35,Zülzmattbächli,400,280,120,,,,0,,-,,,,,Titterten,Waldenburg
66.112,Fluegrabenbächli,610,600,10,,,,0,unterhalb der Klärteiche stark durch Abwasser belastet und daher biologisch massiv beeinträchtigt,-,,,,,Titterten,Waldenburg
,Eindolung/Drainagen im Gebiet Brunneacher,,,,,130,,4,"Öffnung unterhalb Kantonsstrasse entlang bestehendem Fussweg, vermutlich geringe Wasserführung",Karte,Link,Titterten_Eindolungen_Bericht,,,Titterten,Waldenburg
,Drainagen in Verlängerung  Richtung Dorf,,,,,200,,4,"Öffnung südlich entlang bestehendem Fahrweg bis zur Bauzone, vermutlich bescheidene Wasserführung",Karte,Link,Titterten_Eindolungen_Bericht,,,Titterten,Waldenburg
66.201,Marchbächli,140,140,0,,,,0,,-,,,,,Titterten,Waldenburg
66.202,Retschenbächli,220,220,0,,,,4,gemäss NVVT könnte der heute sichtbare Bachlauf im Bereich Retschenweidli verlängert und ev. durch einen Weiher ergänzt werden,-,Link,,,,Titterten,Waldenburg
66.203,Rifensteinbächli,520,510,10,,,,0,,-,,,,,Titterten,Waldenburg
18.09,Diegterbach,3950,3840,110,,,,0,Ausdolung gemäss Wasserbaukonzept ab Autobahn bis Gewerbegebiet geplant,-,,,,,Diegten,Waldenburg
18.57,Rintelbächli,690,610,80,,,,0,,-,,,,,Diegten,Waldenburg
18.58,Witwaldbächli,240,240,0,,,,0,,-,,,,,Diegten,Waldenburg
18.132,Lammetbächli,70,70,0,210,200,,?,Aufgrund Nähe zur Grundwasserfassung Eimatt vermutlich nicht möglich,-,,,,,Diegten,Waldenburg
18.201,Dangerenbächli,990,630,360,,130,,4,"Abschnitt im Mittellauf, vermutlich bescheidene Wasserführung",-,Link,,Ausdolung nicht erwünscht,,Diegten,Waldenburg
18.202,Dietisbergbächli,1520,1070,450,,200,,4,Ausdohlung entlang Südrand von Parz. 2795 bereits erfolgt; Seitenast SE bietet noch Potential (allerdings vermtutlich bei geringer Wasserführung),18.202,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
18.203,Eibächli,860,530,330,,160,,2,"Fruchtfolgefläche, kaum Vernetzungswirkung, da Riegel der Autobahn bestehen bleibt",-,Link,,,,Diegten,Waldenburg
18.204,Erlibächli,820,370,450,,400,,3,"im mittleren Abschnitt grundsätzlich denkbar (ev. entlang Parzellengrenze), zerschneidet aber weiter unten Parzelle 2603",18.204,Link,Diegten_Eindolungen_Bericht,"Bereits kontaktiert, vorläufig aber kein Interesse",,Diegten,Waldenburg
18.205,Flüeacherbächli,390,50,340,,,,0,Eindolung im Autobahnbereich,-,,,,,Diegten,Waldenburg
18.206,Grundrainbächli,340,10,330,,150,,3,"im obern Abschnitt entlang Weg denkbar, Wasserführung?",18.205,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
18.207,Helgenmattbächli,890,670,220,,,,3,"oberster Abschnitt ist entgegen Gewässerverzeichnis eingedolt, Wasserführung?",18.207,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
18.208,Isentalbächli,1560,660,900,,150,,4,Eindolung im Mittelabschnitt,18.208,Link,Diegten_Eindolungen_Bericht,Ausdolung nicht erwünscht,,Diegten,Waldenburg
,div. Drainagesysteme nördlich 18.208,,,,> 1000,?,,2,intensiv genutzte Ackerbauflächen,-,Link,,,,Diegten,Waldenburg
,oberster Abschnitt und Drainagen in Verlängerung ,,,,400,200,,2,intensiv genutzte Ackerbauflächen,-,Link,,,,Diegten,Waldenburg
18.209,Länzbächli,210,130,80,200,70 (u.) 200 (o),,4,"unten Ausdohlung prüfenswert, oben vmtl. geringe Wasserführung",18.209,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
18.210,Rischmattbächli,1440,900,540,,200,,4,Abschnitt oberhalb Autobahn könnte entlag Weg geöffnet werden,-,Link,,,,Diegten,Waldenburg
,Drainagen südl. 18.210,,,,,,,2,"intensiv genutzte Ackerbauflächen, vmtl. geringe Wasserführung", -,Link,,,,Diegten,Waldenburg
18.211,Stampachbächli,1420,1220,200,,130,,3,Eindolung NE-Ast; vermutlich nur geringe Wasserführung,18.211,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
,Verlängerung SE und Drainagesysteme ,,,,> 500,200,,3,"Ausdohlung entlang Weg im unteren Abschnitt denkbar, vmtl. bescheidene Wasserführung",S. 8,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
18.212,Talbächli,840,620,220,,120,,4,im untersten Abschnitt könnte Bach ev. entlang Weg offen geführt werden; Grundwasserschutz?,18.212,Link,Diegten_Eindolungen_Bericht,,,Diegten,Waldenburg
18.213,Rotacherbächli,,,,,,,2,"intensiv genutzte Ackerbauflächen, vmtl. geringe Wasserführung", -,Link,,,,Diegten,Waldenburg
34.07,Vordere Frenke,3480,3410,70,,,,0,, -,,,,,Langenbruck,Waldenburg
,Drianagesystem Bachtelen,,,,500,300,,3,, -,Link,,,,Langenbruck,Waldenburg
34.88,Dellenbach,830,810,20,,,,0,, -,,,,,Langenbruck,Waldenburg
34.89,Musbächli,1330,1240,90,,,,0,, -,,,,,Langenbruck,Waldenburg
34.90,Schöntalbach,4840,4820,20,,,,0,, -,,,,,Langenbruck,Waldenburg
,früherer Bachlauf südlich Schöntalweiher (S7),,,,200,200,,5,gemäss Sigfriedkarte bis ca. 1950 verzeichneter Seitenast; Drainage (nicht dokumentiert) speist mit Wasseraufstoss Schöntalweiher auf der Südseite ,34.90,Link,Langenbruck_Eindolungen_Bericht,,,Langenbruck,Waldenburg
,früherer Bachlauf n. Schön-talbach bei U. Chilchzimmer,,,,650,200,,4,gemäss Sigfriedkarte bis ca. 1950 verzeichneter Seitenast; Drainage ist nicht dokumentiert aber durch Schächte markiert,34.90,Link,Langenbruck_Eindolungen_Bericht,,,Langenbruck,Waldenburg
,weitere Bachstrecken gemäss Sigfriedkarte im Oberlauf,,,,?,,,0,"im Bereich Chilchzimmer ev. weitere Eindolung (S11) vorhanden, dagegen sind die Taläste gegen den Chilchzimmersattel hinauf ohne Eindolungen und nur selten wasserführend",34.90,Link,Langenbruck_Eindolungen_Bericht,,,Langenbruck,Waldenburg
34.91,Spalenbach,2080,2030,50,,,,0,, -,,,,,Langenbruck,Waldenburg
34.130,Dänschbach,220,0,220,,200,,4,Öffnung in Absprache mit Kt. SO für den ganzen eingedolten Abschnitt prüfen,34.130,Link,Langenbruck_Eindolungen_Bericht,,,Langenbruck,Waldenburg
34.138,Bilsteinbach,930,870,60,,,,0,, -,,,,,Langenbruck,Waldenburg
34.140,Dürstelbach,2480,2450,30,,,,0,, -,,,,,Langenbruck,Waldenburg
34.158,Chellenbergbach,1010,790,220,,220,,4,, -,Link,,,,Langenbruck,Waldenburg
